Ticker,Company,GICS Sector,GICS Sub-Industry,Beta_12M_Daily,Trading_Days_Used
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,1.022,250
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.893,250
ABBV,AbbVie,Health Care,Biotechnology,0.031,250
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1.163,250
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0.147,250
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,-0.231,250
ACN,Accenture,Information Technology,IT Consulting & Other Services,0.444,250
ADBE,Adobe Inc.,Information Technology,Application Software,0.477,250
ADI,Analog Devices,Information Technology,Semiconductors,1.496,250
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,-0.022,250
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0.168,250
ADSK,Autodesk,Information Technology,Application Software,0.61,250
AEE,Ameren,Utilities,Multi-Utilities,-0.072,250
AEP,American Electric Power,Utilities,Electric Utilities,-0.013,250
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0.602,250
AFL,Aflac,Financials,Life & Health Insurance,-0.042,250
AIG,American International Group,Financials,Multi-line Insurance,0.154,250
AIZ,Assurant,Financials,Multi-line Insurance,0.29,250
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,-0.121,250
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1.072,250
ALB,Albemarle Corporation,Materials,Specialty Chemicals,1.519,250
ALGN,Align Technology,Health Care,Health Care Supplies,1.611,250
ALL,Allstate,Financials,Property & Casualty Insurance,-0.179,250
ALLE,Allegion,Industrials,Building Products,0.687,250
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2.442,250
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0.818,250
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2.945,250
AME,Ametek,Industrials,Electrical Components & Equipment,0.927,250
AMGN,Amgen,Health Care,Biotechnology,0.53,250
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0.878,250
AMT,American Tower,Real Estate,Telecom Tower REITs,-0.056,250
AMZN,Amazon,Consumer Discretionary,Broadline Retail,1.439,250
ANET,Arista Networks,Information Technology,Communications Equipment,2.026,250
AON,Aon plc,Financials,Insurance Brokers,-0.121,250
AOS,A. O. Smith,Industrials,Building Products,0.743,250
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,-0.466,250
APD,Air Products,Materials,Industrial Gases,0.271,250
APH,Amphenol,Information Technology,Electronic Components,1.726,250
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,1.158,250
APP,AppLovin,Information Technology,Application Software,2.14,250
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,1.429,250
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0.94,250
ARES,Ares Management,Financials,Asset Management & Custody Banks,1.696,250
ATO,Atmos Energy,Utilities,Gas Utilities,-0.055,250
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,0.347,250
AVGO,Broadcom,Information Technology,Semiconductors,2.117,250
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,0.485,250
AWK,American Water Works,Utilities,Water Utilities,-0.444,250
AXON,Axon Enterprise,Industrials,Aerospace & Defense,1.243,250
AXP,American Express,Financials,Consumer Finance,1.002,250
AZO,AutoZone,Consumer Discretionary,Automotive Retail,0.224,250
BA,Boeing,Industrials,Aerospace & Defense,1.131,250
BAC,Bank of America,Financials,Diversified Banks,0.762,250
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",0.252,250
BAX,Baxter International,Health Care,Health Care Equipment,1.155,250
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,0.859,250
BDX,Becton Dickinson,Health Care,Health Care Equipment,0.454,250
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,1.243,250
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,0.104,250
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,0.044,250
BIIB,Biogen,Health Care,Biotechnology,0.351,250
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.918,250
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0.809,250
BLDR,Builders FirstSource,Industrials,Building Products,1.578,250
BLK,BlackRock,Financials,Asset Management & Custody Banks,1.203,250
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,0.29,250
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,0.762,250
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,0.132,250
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0.073,250
BRO,Brown & Brown,Financials,Insurance Brokers,-0.158,250
BSX,Boston Scientific,Health Care,Health Care Equipment,0.209,250
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,1.379,250
BXP,"BXP, Inc.",Real Estate,Office REITs,0.842,250
C,Citigroup,Financials,Diversified Banks,1.326,250
CAH,Cardinal Health,Health Care,Health Care Distributors,-0.099,250
CARR,Carrier Global,Industrials,Building Products,1.256,250
CASY,Casey's,Consumer Staples,Food Retail,0.065,250
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1.662,250
CB,Chubb Limited,Financials,Property & Casualty Insurance,-0.23,250
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,-0.208,250
CBRE,CBRE Group,Real Estate,Real Estate Services,0.844,250
CCI,Crown Castle,Real Estate,Telecom Tower REITs,0.132,250
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2.152,250
CDNS,Cadence Design Systems,Information Technology,Application Software,1.595,250
CDW,CDW Corporation,Information Technology,Technology Distributors,0.826,250
CEG,Constellation Energy,Utilities,Electric Utilities,1.416,250
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,-0.76,250
CFG,Citizens Financial Group,Financials,Regional Banks,1.041,250
CHD,Church & Dwight,Consumer Staples,Household Products,-0.106,250
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,0.83,250
CHTR,Charter Communications,Communication Services,Cable & Satellite,0.269,250
CI,Cigna,Health Care,Health Care Services,0.342,250
CIEN,Ciena,Information Technology,Communications Equipment,2.501,250
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,0.175,250
CL,Colgate-Palmolive,Consumer Staples,Household Products,-0.114,250
CLX,Clorox,Consumer Staples,Household Products,0.166,250
CMCSA,Comcast,Communication Services,Cable & Satellite,0.124,250
CME,CME Group,Financials,Financial Exchanges & Data,-0.246,250
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0.895,250
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,1.608,250
CMS,CMS Energy,Utilities,Multi-Utilities,-0.088,250
CNC,Centene Corporation,Health Care,Managed Health Care,0.382,250
CNP,CenterPoint Energy,Utilities,Multi-Utilities,-0.116,250
COF,Capital One,Financials,Consumer Finance,1.356,250
COHR,Coherent Corp.,Information Technology,Electronic Components,3.012,250
COIN,Coinbase,Financials,Financial Exchanges & Data,3.103,250
COO,Cooper Companies (The),Health Care,Health Care Supplies,0.596,250
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,-0.283,250
COR,Cencora,Health Care,Health Care Distributors,-0.102,250
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,-0.074,250
CPAY,Corpay,Financials,Transaction & Payment Processing Services,1.075,250
CPRT,Copart,Industrials,Diversified Support Services,0.323,250
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,0.196,250
CRH,CRH plc,Materials,Construction Materials,1.347,250
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1.355,250
CRM,Salesforce,Information Technology,Application Software,0.543,250
CRWD,CrowdStrike,Information Technology,Systems Software,1.418,247
CSCO,Cisco,Information Technology,Communications Equipment,1.033,250
CSGP,CoStar Group,Real Estate,Real Estate Services,0.354,250
CSX,CSX Corporation,Industrials,Rail Transportation,0.574,250
