strategy,S&P500
18.22622197,-19.79336948
18.22622197,-19.79336948
18.22622197,-19.79336948
18.22622197,-19.79336948
18.22622197,-19.79336948
18.22622197,-19.79336948
18.22622197,-19.79336948
18.22622197,-19.79336948
18.22622197,-19.79336948
18.22622197,-19.79336948
24.27286699,-15.04529816
24.27286699,-15.04529816
24.27286699,-15.04529816
24.27286699,-15.04529816
24.27286699,-15.04529816
24.27286699,-15.04529816
24.27286699,-15.04529816
24.27286699,-15.04529816
24.27286699,-15.04529816
24.27286699,-15.04529816
-8.458659629,-11.16107196
-8.458659629,-11.16107196
-8.458659629,-11.16107196
-8.458659629,-11.16107196
-8.458659629,-11.16107196
-8.458659629,-11.16107196
-8.458659629,-11.16107196
-8.458659629,-11.16107196
-8.458659629,-11.16107196
-8.458659629,-11.16107196
-23.03763353,-9.460106188
-23.03763353,-9.460106188
-23.03763353,-9.460106188
-23.03763353,-9.460106188
-23.03763353,-9.460106188
-23.03763353,-9.460106188
-23.03763353,-9.460106188
-23.03763353,-9.460106188
-23.03763353,-9.460106188
-23.03763353,-9.460106188
6.100471398,-9.066696975
6.100471398,-9.066696975
6.100471398,-9.066696975
6.100471398,-9.066696975
6.100471398,-9.066696975
6.100471398,-9.066696975
6.100471398,-9.066696975
6.100471398,-9.066696975
6.100471398,-9.066696975
6.100471398,-9.066696975
-19.77245419,-8.696701435
-19.77245419,-8.696701435
-19.77245419,-8.696701435
-19.77245419,-8.696701435
-19.77245419,-8.696701435
-19.77245419,-8.696701435
-19.77245419,-8.696701435
-19.77245419,-8.696701435
-19.77245419,-8.696701435
-19.77245419,-8.696701435
41.52347562,-8.196693843
41.52347562,-8.196693843
41.52347562,-8.196693843
41.52347562,-8.196693843
41.52347562,-8.196693843
41.52347562,-8.196693843
41.52347562,-8.196693843
41.52347562,-8.196693843
41.52347562,-8.196693843
41.52347562,-8.196693843
-22.08792137,-7.713672522
-22.08792137,-7.713672522
-22.08792137,-7.713672522
-22.08792137,-7.713672522
-22.08792137,-7.713672522
-22.08792137,-7.713672522
-22.08792137,-7.713672522
-22.08792137,-7.713672522
-22.08792137,-7.713672522
-22.08792137,-7.713672522
3.294014345,-7.590121932
3.294014345,-7.590121932
3.294014345,-7.590121932
3.294014345,-7.590121932
3.294014345,-7.590121932
3.294014345,-7.590121932
3.294014345,-7.590121932
3.294014345,-7.590121932
3.294014345,-7.590121932
3.294014345,-7.590121932
-3.057585511,-7.152272503
-3.057585511,-7.152272503
-3.057585511,-7.152272503
-3.057585511,-7.152272503
-3.057585511,-7.152272503
-3.057585511,-7.152272503
-3.057585511,-7.152272503
-3.057585511,-7.152272503
-3.057585511,-7.152272503
-3.057585511,-7.152272503
39.12914814,-6.776699973
39.12914814,-6.776699973
39.12914814,-6.776699973
39.12914814,-6.776699973
39.12914814,-6.776699973
39.12914814,-6.776699973
39.12914814,-6.776699973
39.12914814,-6.776699973
39.12914814,-6.776699973
39.12914814,-6.776699973
24.38155428,-6.619502953
24.38155428,-6.619502953
24.38155428,-6.619502953
24.38155428,-6.619502953
24.38155428,-6.619502953
24.38155428,-6.619502953
24.38155428,-6.619502953
24.38155428,-6.619502953
24.38155428,-6.619502953
24.38155428,-6.619502953
3.520831936,-6.452394474
3.520831936,-6.452394474
3.520831936,-6.452394474
3.520831936,-6.452394474
3.520831936,-6.452394474
3.520831936,-6.452394474
3.520831936,-6.452394474
3.520831936,-6.452394474
3.520831936,-6.452394474
3.520831936,-6.452394474
3.763391918,-6.354691567
3.763391918,-6.354691567
3.763391918,-6.354691567
3.763391918,-6.354691567
3.763391918,-6.354691567
3.763391918,-6.354691567
3.763391918,-6.354691567
3.763391918,-6.354691567
3.763391918,-6.354691567
3.763391918,-6.354691567
1.942305625,-6.141615568
1.942305625,-6.141615568
1.942305625,-6.141615568
1.942305625,-6.141615568
1.942305625,-6.141615568
1.942305625,-6.141615568
1.942305625,-6.141615568
1.942305625,-6.141615568
1.942305625,-6.141615568
1.942305625,-6.141615568
-3.037642115,-6.083466104
-3.037642115,-6.083466104
-3.037642115,-6.083466104
-3.037642115,-6.083466104
-3.037642115,-6.083466104
-3.037642115,-6.083466104
-3.037642115,-6.083466104
-3.037642115,-6.083466104
-3.037642115,-6.083466104
-3.037642115,-6.083466104
-5.487791412,-5.861584166
-5.487791412,-5.861584166
-5.487791412,-5.861584166
-5.487791412,-5.861584166
-5.487791412,-5.861584166
-5.487791412,-5.861584166
-5.487791412,-5.861584166
-5.487791412,-5.861584166
-5.487791412,-5.861584166
-5.487791412,-5.861584166
4.312033335,-5.772371352
4.312033335,-5.772371352
4.312033335,-5.772371352
4.312033335,-5.772371352
4.312033335,-5.772371352
