n,median,mean,win_rate,sortino
1,0.029521,2.079150167,50.390625,0.167225903
2,1.563516243,3.02273074,54.6875,0.36985885
3,0.939272803,2.094282626,53.125,0.287184441
4,1.401102061,2.276778332,56.8359375,0.354493802
5,1.80170582,2.576528682,57.2265625,0.430638404
6,2.015860378,2.563168143,61.328125,0.443134497
7,2.701455673,2.614756687,61.9140625,0.471317989
8,2.663342328,2.614767017,60.3515625,0.471844502
9,2.146944177,2.52324755,60.15625,0.480082118
10,2.295764476,2.521468333,61.71875,0.478956206
11,2.072664961,2.491111285,61.9140625,0.507461245
12,1.903638133,2.405758691,60.9375,0.513149623
13,1.91610334,2.430799227,61.328125,0.533320268
14,1.946506794,2.412103681,62.5,0.560244085
15,1.991079571,2.346372618,61.9140625,0.564082337
16,1.971318901,2.254062356,61.5234375,0.546636282
17,1.98314938,2.279326941,62.5,0.561739588
18,1.971718071,2.271572263,62.109375,0.558381689
19,1.810457808,2.192945119,62.5,0.538623196
20,1.78229849,2.153086193,61.9140625,0.547765996
21,1.59330908,2.055484532,60.3515625,0.532373141
22,1.443793445,2.039620589,60.7421875,0.537488207
23,1.524536366,2.122599789,61.5234375,0.577168901
24,1.474868648,2.087098239,61.71875,0.57943244
25,1.460940338,2.089907918,61.71875,0.598639756
26,1.35617052,2.094788239,61.71875,0.601939143
27,1.234057565,2.042777467,62.109375,0.594079744
28,1.320466663,2.072343059,62.890625,0.6103414
29,1.326464154,2.070350909,62.109375,0.61482558
30,1.357836125,2.09745053,62.890625,0.634266454
31,1.270856044,2.051134306,62.5,0.631018631
32,1.331629466,2.059991302,63.28125,0.640580641
33,1.438934847,2.041548697,63.671875,0.644124337
34,1.390017097,2.008873002,63.671875,0.633950807
35,1.326454449,1.970827478,62.6953125,0.625822962
36,1.342724247,2.005327089,62.3046875,0.648301922
37,1.372677273,1.986805128,62.109375,0.650720661
38,1.304652295,1.930872405,61.1328125,0.630960739
39,1.307185997,1.96979238,61.5234375,0.648538281
40,1.321283001,1.930579531,61.71875,0.640247869
41,1.242108375,1.875140732,61.328125,0.623412442
42,1.193650046,1.823931315,60.7421875,0.606662668
43,1.213873312,1.817141259,61.328125,0.607639619
44,1.230449686,1.829307006,61.5234375,0.62065939
45,1.257904263,1.838266131,61.9140625,0.627851907
46,1.311916924,1.806219552,61.71875,0.620570701
47,1.272301929,1.798710311,61.5234375,0.62064808
48,1.406193593,1.792073069,60.7421875,0.621426297
49,1.374740561,1.809984167,60.546875,0.637050451
50,1.364967416,1.811745828,60.546875,0.643878655
51,1.28769773,1.789350646,60.546875,0.636174269
52,1.284967996,1.777458921,60.546875,0.633195253
53,1.324774423,1.734772293,60.3515625,0.617260398
54,1.290751906,1.712925571,60.9375,0.611566647
55,1.260360313,1.703541818,60.9375,0.608163154
56,1.225456794,1.657725546,60.546875,0.58980837
57,1.27388609,1.675296698,60.7421875,0.600371068
58,1.173688736,1.643800754,60.546875,0.591363053
59,1.202192753,1.644760431,60.546875,0.592425062
60,1.243810579,1.628704165,60.546875,0.591012309
61,1.224047923,1.619498824,60.15625,0.591374626
62,1.249178952,1.587985303,60.15625,0.583962572
63,1.248869212,1.570104576,60.546875,0.58047361
64,1.206212545,1.561340796,61.1328125,0.58019814
65,1.171705219,1.560156606,61.1328125,0.583921721
66,1.209679006,1.538410043,60.7421875,0.577276473
67,1.203259468,1.549005087,60.546875,0.58282313
68,1.227619381,1.54049398,60.3515625,0.583720213
69,1.251455863,1.521215413,60.15625,0.578000914
70,1.218522626,1.537315377,60.15625,0.588061664
71,1.228786778,1.533024128,60.15625,0.588777052
72,1.228310334,1.552827328,60.546875,0.603406762
73,1.238814059,1.551142846,60.7421875,0.601910294
74,1.215919132,1.53060224,59.9609375,0.594835272
75,1.235135605,1.533854958,60.546875,0.598846019
76,1.195797343,1.518604721,60.546875,0.598572292
77,1.186172745,1.509068569,60.546875,0.595728321
78,1.199477372,1.505007236,60.3515625,0.595531903
79,1.174092416,1.477762907,60.15625,0.587593426
80,1.200704994,1.47731383,59.9609375,0.589001386
81,1.187660861,1.480454297,60.3515625,0.591505659
82,1.214410836,1.461102163,60.546875,0.583963851
83,1.190791646,1.450128121,60.15625,0.583579012
84,1.17855398,1.436678114,59.9609375,0.5808976
85,1.16857558,1.421834095,60.15625,0.577390554
86,1.175897467,1.428033976,60.7421875,0.586090466
87,1.18173397,1.418613486,60.546875,0.583394014
88,1.208620052,1.413112923,60.3515625,0.582070667
89,1.166071089,1.402664264,61.1328125,0.577682463
90,1.171927393,1.394371881,60.9375,0.576517922
91,1.157050303,1.377388181,60.7421875,0.567701034
92,1.106075797,1.359647999,60.15625,0.560688858
93,1.121919108,1.342215887,59.9609375,0.554989533
94,1.143125184,1.354909595,60.3515625,0.563774001
95,1.087242415,1.343003462,59.9609375,0.559453976
96,1.106963724,1.331042728,60.15625,0.553396158
97,1.075803281,1.336203977,60.15625,0.560444886
98,1.049976906,1.308518514,60.15625,0.548357924
99,1.036040769,1.307114058,60.546875,0.549188855
