border,n,median,mean,win_rate,sortino,Total
0,1,0.8161502,18.65867021,51.30687318,1.284262304,72.0659559
0,2,1.789099077,14.9803374,55.17909003,1.622295131,73.57082164
0,3,1.130229832,12.58596559,54.1142304,1.537031898,69.36745771
0,4,1.387271328,11.33510404,55.17909003,1.53253218,69.43399758
0,5,1.536360083,11.27261596,56.63117135,1.620387821,71.06053521
0,6,1.81576931,10.96507192,58.08325266,1.674899191,72.53899308
0,7,2.370252737,10.99809106,59.92255566,1.75286778,75.04376724
0,8,2.367698348,10.65720783,59.05130687,1.696908152,73.77312121
0,9,2.342087648,10.60357826,59.6321394,1.760535874,74.33834118
0,10,2.270091805,10.37713539,60.79380445,1.738355086,75.17938674
0,11,2.046687846,10.19955611,60.30977735,1.790566823,74.34658813
0,12,2.064462663,10.08708144,60.79380445,1.848967844,74.7943164
0,13,2.225707662,9.955647937,62.43949661,1.864375872,76.48522808
0,14,2.33949907,9.829912224,63.79477251,1.896646916,77.86083072
0,15,2.335413402,9.61207475,63.50435624,1.908090695,77.35993509
0,16,2.377862836,9.496990039,64.37560503,1.916796067,78.16725398
0,17,2.477706049,9.445894382,64.6660213,1.940443371,78.5300651
0,18,2.43877794,9.34846865,64.56921588,1.937420763,78.29388323
0,19,2.353708272,9.15927806,64.76282672,1.901964031,78.17777708
0,20,2.33894052,9.099736127,64.95643756,1.930464412,78.32557862
0,21,2.350069776,8.94987351,64.76282672,1.923376728,77.98614673
0,22,2.201121262,8.873140322,64.95643756,1.941497288,77.97219643
0,23,2.333719639,8.803112233,65.44046467,1.949599733,78.52689627
0,24,2.368332514,8.699213351,64.85963214,1.959420446,77.88659845
0,25,2.358793599,8.581927899,65.1500484,1.961855772,78.05262567
0,26,2.332333304,8.511429628,64.85963214,1.955018635,77.65841371
0,27,2.247918776,8.431787141,65.24685382,1.963975051,77.89053479
0,28,2.233860809,8.403819248,65.44046467,1.989114196,78.06725892
0,29,2.256604189,8.374559377,65.24685382,2.004065756,77.88208315
0,30,2.345947077,8.320502354,65.82768635,2.001366116,78.4955019
0,31,2.301445083,8.255741873,66.11810261,2.011326348,78.68661592
0,32,2.287873089,8.229555535,66.89254598,2.021065626,79.43104023
0,33,2.237532519,8.161286632,66.89254598,2.019081408,79.31044654
0,34,2.348595401,8.084463083,66.89254598,1.989098996,79.31470346
0,35,2.270298689,8.011045083,66.9893514,1.977527102,79.24822228
0,36,2.296247961,7.966609239,66.79574056,1.987168734,79.0457665
0,37,2.210328271,7.905701478,66.5053243,1.987065336,78.60841938
0,38,2.180459527,7.79532005,66.31171346,1.967386979,78.25488001
0,39,2.151855764,7.778708288,67.27976767,1.973431684,79.1837634
0,40,2.158516566,7.683910755,66.60212972,1.958053448,78.40261049
0,41,2.134085631,7.578165338,66.21490803,1.93034431,77.85750331
0,42,2.132701827,7.508584184,66.5053243,1.916099395,78.0627097
0,43,2.133359017,7.453754428,65.82768635,1.914915248,77.32971504
0,44,2.188430357,7.405382652,66.31171346,1.915784233,77.8213107
0,45,2.169952942,7.356287873,66.40851888,1.917217035,77.85197673
0,46,2.150826498,7.284958242,66.5053243,1.914035899,77.85514494
0,47,2.124548388,7.221152855,66.79574056,1.905115513,78.04655732
0,48,2.146206308,7.158603307,66.31171346,1.893764826,77.5102879
0,49,2.067828244,7.104152366,66.21490803,1.894264715,77.28115336
0,50,2.147727808,7.066357705,66.60212972,1.900798202,77.71701343
0,51,2.126396993,7.01129801,66.60212972,1.890095277,77.62992
0,52,2.138988848,6.942436094,66.89254598,1.869299779,77.8432707
0,53,2.140603465,6.880542303,66.79574056,1.8591573,77.67604363
0,54,2.068218299,6.820891042,66.60212972,1.851701094,77.34294015
0,55,2.031537893,6.757588819,66.31171346,1.836615579,76.93745575
0,56,1.96967161,6.671077565,66.31171346,1.804257962,76.75672059
0,57,1.955020808,6.62464439,66.5053243,1.801195998,76.88618549
0,58,1.993197628,6.559312647,66.60212972,1.785455996,76.94009599
0,59,1.972968024,6.516630372,66.69893514,1.782486192,76.97101973
0,60,1.978710912,6.459217186,66.60212972,1.774815843,76.81487366
0,61,1.985566954,6.412347767,66.5053243,1.76804041,76.67127943
0,62,1.970338062,6.354690331,66.60212972,1.763045656,76.69020377
0,63,1.974132419,6.311292568,66.21490803,1.760361793,76.26069481
0,64,1.949443933,6.270740067,66.31171346,1.754939053,76.28683651
0,65,1.960211486,6.235570119,66.31171346,1.75470292,76.26219798
0,66,1.95564569,6.190085509,66.11810261,1.747566451,76.01140026
0,67,1.938574567,6.151880223,66.21490803,1.741452095,76.04681492
0,68,1.907952318,6.106375639,66.11810261,1.735781389,75.86821196
0,69,1.890001389,6.06104006,65.82768635,1.72667832,75.50540612
0,70,1.904582471,6.031872296,66.02129719,1.72587488,75.68362684
0,71,1.929669871,6.001736826,66.11810261,1.721668295,75.77117761
0,72,1.928438858,5.983626671,66.40851888,1.725139203,76.04572361
0,73,1.92867514,5.96570482,66.40851888,1.726390813,76.02928965
0,74,1.924610257,5.915860569,66.21490803,1.714145685,75.76952455
0,75,1.945318541,5.87487734,66.02129719,1.699771845,75.54126492
0,76,1.922647183,5.828667316,66.40851888,1.692689165,75.85252254
0,77,1.921335872,5.788698253,66.31171346,1.684005198,75.70575278
0,78,1.905604516,5.765170512,66.40851888,1.681658067,75.76095197
0,79,1.893065825,5.729833909,66.40851888,1.676963132,75.70838174
0,80,1.866812412,5.697709049,66.5053243,1.670208347,75.74005411
0,81,1.918134327,5.670549609,66.5053243,1.66376251,75.75777075
0,82,1.884084508,5.635888838,66.40851888,1.656317541,75.58480976
0,83,1.86616853,5.602506938,66.40851888,1.649997193,75.52719154
0,84,1.849528137,5.575448863,66.5053243,1.647915166,75.57821646
0,85,1.798582129,5.544153703,66.5053243,1.639549889,75.48761002
0,86,1.871713511,5.520773339,66.5053243,1.641048134,75.53885928
0,87,1.879652178,5.484141263,66.40851888,1.632536387,75.4048487
0,88,1.88251571,5.462604737,66.31171346,1.630648667,75.28748257
0,89,1.875223471,5.428447723,66.40851888,1.621927995,75.33411807
0,90,1.883704264,5.406285377,66.11810261,1.616937128,75.02502938
0,91,1.844476512,5.368386105,66.21490803,1.604957518,75.03272817
0,92,1.868924564,5.325460173,66.21490803,1.592699042,75.00199181
0,93,1.868219153,5.286938126,66.31171346,1.582088087,75.04895882
0,94,1.84510575,5.254717695,66.11810261,1.574331097,74.79225716
0,95,1.797266064,5.222015294,66.21490803,1.565667261,74.79985665
0,96,1.789019683,5.198682731,66.21490803,1.560263716,74.76287416
0,97,1.795094522,5.177051997,66.02129719,1.560764542,74.55420825
0,98,1.77611574,5.127170383,66.21490803,1.542855166,74.66104932
0,99,1.782227421,5.110908942,66.02129719,1.543066902,74.45750046
