border,n,median,mean,win_rate,sortino,,,,n,win_rate,median,win_rate2,tot_win:,median2,tot_med,,,n,median,median2
0,-10,68.37269332,145.6727568,100,0,,,,-10,100,68.37269332,1.936108422,101.9361084,-60.27544706,8.097246259,,,-10,68.37269332,-60.27544706
0,-9.9,67.5831641,143.1943239,100,0,,,,-9.9,100,67.5831641,2.032913843,102.0329138,-59.86954833,7.713615767,,,-9.9,67.5831641,-59.86954833
0,-9.8,66.79600708,140.747463,100,0,,,,-9.8,100,66.79600708,2.032913843,102.0329138,-59.45425132,7.341755761,,,-9.8,66.79600708,-59.45425132
0,-9.7,66.01138431,138.3317552,100,0,,,,-9.7,100,66.01138431,2.032913843,102.0329138,-59.03396617,6.977418139,,,-9.7,66.01138431,-59.03396617
0,-9.6,65.22929117,135.9467865,100,0,,,,-9.6,100,65.22929117,2.032913843,102.0329138,-58.5938352,6.635455972,,,-9.6,65.22929117,-58.5938352
0,-9.5,64.49570336,133.5921479,100,0,,,,-9.5,100,64.49570336,2.032913843,102.0329138,-58.14719914,6.348504216,,,-9.5,64.49570336,-58.14719914
0,-9.4,63.77588198,131.2674354,100,0,,,,-9.4,100,63.77588198,2.032913843,102.0329138,-57.6972672,6.078614781,,,-9.4,63.77588198,-57.6972672
0,-9.3,63.04432842,128.97225,100,0,,,,-9.3,100,63.04432842,2.032913843,102.0329138,-57.24402338,5.800305036,,,-9.3,63.04432842,-57.24402338
0,-9.2,62.37315498,126.7061976,100,0,,,,-9.2,100,62.37315498,2.032913843,102.0329138,-56.78745168,5.585703305,,,-9.2,62.37315498,-56.78745168
0,-9.1,61.68062916,124.4688885,100,0,,,,-9.1,100,61.68062916,2.032913843,102.0329138,-56.327536,5.353093161,,,-9.1,61.68062916,-56.327536
0,-9,60.93762849,122.2599383,100,0,,,,-9,100,60.93762849,2.032913843,102.0329138,-55.84524223,5.092386255,,,-9,60.93762849,-55.84524223
0,-8.9,60.19711048,120.0789669,100,0,,,,-8.9,100,60.19711048,2.032913843,102.0329138,-55.40385009,4.793260386,,,-8.9,60.19711048,-55.40385009
0,-8.8,59.45906994,117.9255992,100,0,,,,-8.8,100,59.45906994,2.032913843,102.0329138,-54.95873577,4.500334168,,,-8.8,59.45906994,-54.95873577
0,-8.7,58.72350168,115.7994644,100,0,,,,-8.7,100,58.72350168,2.032913843,102.0329138,-54.5098747,4.213626982,,,-8.7,58.72350168,-54.5098747
0,-8.6,57.99040055,113.7001964,100,0,,,,-8.6,100,57.99040055,2.032913843,102.0329138,-54.01832031,3.972080243,,,-8.6,57.99040055,-54.01832031
0,-8.5,57.25976135,111.6274338,100,0,,,,-8.5,100,57.25976135,2.032913843,102.0329138,-53.50975366,3.750007686,,,-8.5,57.25976135,-53.50975366
0,-8.4,56.58717658,109.5808194,100,0,,,,-8.4,100,56.58717658,2.032913843,102.0329138,-53.08030277,3.506873806,,,-8.4,56.58717658,-53.08030277
0,-8.3,55.84476526,107.5600006,100,0,,,,-8.3,100,55.84476526,2.032913843,102.0329138,-52.65159056,3.1931747,,,-8.3,55.84476526,-52.65159056
0,-8.2,55.17958811,105.5646292,100,0,,,,-8.2,100,55.17958811,2.032913843,102.0329138,-52.1349283,3.044659813,,,-8.2,55.17958811,-52.1349283
0,-8.1,54.54969732,103.5943611,100,0,,,,-8.1,100,54.54969732,2.129719264,102.1297193,-51.6467434,2.902953921,,,-8.1,54.54969732,-51.6467434
0,-8,53.93576597,101.6488569,100,0,,,,-8,100,53.93576597,2.129719264,102.1297193,-51.14920264,2.786563328,,,-8,53.93576597,-51.14920264
0,-7.9,53.30151748,99.72778105,100,0,,,,-7.9,100,53.30151748,2.129719264,102.1297193,-50.6382625,2.663254975,,,-7.9,53.30151748,-50.6382625
0,-7.8,52.67126255,97.83080246,100,0,,,,-7.8,100,52.67126255,2.129719264,102.1297193,-50.12653395,2.544728603,,,-7.8,52.67126255,-50.12653395
0,-7.7,52.04885228,95.95759413,100,0,,,,-7.7,100,52.04885228,2.129719264,102.1297193,-49.60880646,2.440045819,,,-7.7,52.04885228,-49.60880646
0,-7.6,51.46067299,94.10783318,100,0,,,,-7.6,100,51.46067299,2.129719264,102.1297193,-49.09277548,2.367897505,,,-7.6,51.46067299,-49.09277548
0,-7.5,50.95940593,92.28120079,100,0,,,,-7.5,100,50.95940593,2.129719264,102.1297193,-48.56315544,2.39625049,,,-7.5,50.95940593,-48.56315544
0,-7.4,50.24582438,90.4773822,100,0,,,,-7.4,100,50.24582438,2.129719264,102.1297193,-48.09074728,2.155077104,,,-7.4,50.24582438,-48.09074728
0,-7.3,49.50264652,88.69606663,100,0,,,,-7.3,100,49.50264652,2.129719264,102.1297193,-47.55482695,1.947819568,,,-7.3,49.50264652,-47.55482695
0,-7.2,48.76207263,86.93694725,100,0,,,,-7.2,100,48.76207263,2.129719264,102.1297193,-47.04933955,1.71273308,,,-7.2,48.76207263,-47.04933955
0,-7.1,47.98968729,85.19972114,100,0,,,,-7.1,100,47.98968729,2.226524685,102.2265247,-46.53085606,1.458831235,,,-7.1,47.98968729,-46.53085606
0,-7,47.28871363,83.48408924,100,0,,,,-7,100,47.28871363,2.226524685,102.2265247,-46.02838625,1.260327376,,,-7,47.28871363,-46.02838625
